TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
12571.0,5.787
12583.0,5.787
12595.0,5.787
12607.0,5.787
12619.0,5.787
12631.0,5.787
12643.0,5.787
12655.0,5.787
12667.0,5.787
12679.0,5.787
12691.0,5.787
12703.0,5.787
12715.0,5.787
12727.0,5.787
12739.0,5.787
12751.0,5.787
12763.0,5.787
12775.0,5.787
12787.0,5.787
12799.0,5.787
12811.0,5.787
12823.0,5.787
12835.0,5.787
12847.0,5.787
12859.0,5.787
12871.0,5.787
12883.0,5.787
12895.0,5.787
12907.0,5.787
12919.0,5.787
12931.0,5.787
12943.0,5.787
12955.0,5.787
12967.0,5.787
12979.0,5.787
12991.0,5.787
13003.0,5.787
13015.0,5.787
13027.0,5.787
13039.0,5.787
13051.0,5.787
13087.0,5.787
13099.0,5.787
13111.0,5.787
13123.0,5.787
13135.0,5.787
13147.0,5.787
13159.0,5.787
13171.0,5.787
13183.0,5.787
13195.0,5.787
13207.0,5.787
13219.0,5.787
13231.0,5.787
13243.0,5.787
13255.0,5.787
13267.0,5.787
13279.0,5.787
13291.0,5.787
13303.0,5.787
13315.0,5.787
13327.0,5.787
13339.0,5.787
13351.0,5.787
13363.0,5.787
13375.0,5.787
13387.0,5.787
13399.0,5.787
13423.0,5.787
13435.0,5.787
13447.0,5.787
13459.0,5.787
13471.0,5.787
13483.0,5.787
13495.0,5.787
13519.0,5.787
13531.0,5.787
13543.0,5.787
13555.0,5.787
13579.0,5.787
13591.0,5.787
13603.0,5.787
13615.0,5.787
13627.0,5.787
13639.0,5.787
13651.0,5.787
13663.0,5.787
13675.0,5.787
13687.0,5.787
13699.0,5.787
13711.0,5.787
13747.0,5.787
13759.0,5.787
13771.0,5.787
13783.0,5.787
13795.0,5.787
13807.0,5.787
13819.0,5.787
13831.0,5.787
13843.0,5.787
13855.0,5.787
13867.0,5.787
13879.0,5.787
13891.0,5.787
13915.0,5.787
13927.0,5.787
13951.0,5.787
13963.0,5.787
13975.0,5.787
13987.0,5.787
14011.0,5.787
14059.0,5.787
14083.0,5.787
14095.0,5.787
14107.0,5.787
14119.0,5.787
14131.0,5.787
14143.0,5.787
14179.0,5.787
14191.0,5.787
14227.0,5.787
14239.0,5.787
14251.0,5.787
14263.0,5.787
14275.0,5.787
14287.0,5.787
14323.0,5.787
14347.0,5.787
14359.0,5.787
14371.0,5.787
14383.0,5.787
14395.0,5.787
14407.0,5.787
14431.0,5.787
14443.0,5.787
14455.0,5.787
14467.0,5.787
14491.0,5.787
14515.0,5.787
14527.0,5.787
14551.0,5.787
14563.0,5.787
14599.0,5.787
14611.0,5.787
14623.0,5.787
14635.0,5.787
14647.0,5.787
14683.0,5.787
14695.0,5.787
14707.0,5.787
14719.0,5.787
14755.0,5.787
14767.0,5.787
14779.0,5.787
14803.0,5.787
14815.0,5.787
14827.0,5.787
14839.0,5.787
14851.0,5.787
14863.0,5.787
14875.0,5.787
14911.0,5.787
14923.0,5.787
14935.0,5.787
14959.0,5.787
14971.0,5.787
14995.0,5.787
15007.0,5.787
15031.0,5.787
