TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
3680.0,0.878
3686.0,0.884
3692.0,0.89
3698.0,0.896
3704.0,0.902
3710.0,0.908
3716.0,0.914
3722.0,0.92
3728.0,0.926
3734.0,0.932
3740.0,0.938
3746.0,0.944
3752.0,0.951
3758.0,0.957
3764.0,0.963
3770.0,0.969
3776.0,0.975
3782.0,0.982
3788.0,0.988
3794.0,0.994
3800.0,1.0
3806.0,1.007
3812.0,1.013
3818.0,1.019
3824.0,1.026
3830.0,1.032
3836.0,1.038
3842.0,1.045
3848.0,1.051
3854.0,1.058
3860.0,1.064
3866.0,1.07
3872.0,1.077
3878.0,1.083
3884.0,1.09
3890.0,1.096
3896.0,1.103
3902.0,1.109
3908.0,1.116
3914.0,1.123
3920.0,1.129
3926.0,1.136
3932.0,1.142
3938.0,1.149
3944.0,1.156
3950.0,1.162
3956.0,1.169
3962.0,1.176
3968.0,1.182
3974.0,1.189
3980.0,1.196
3986.0,1.203
3992.0,1.21
3998.0,1.216
4004.0,1.223
4010.0,1.23
4016.0,1.237
4022.0,1.244
4028.0,1.251
4034.0,1.257
4040.0,1.264
4046.0,1.271
4052.0,1.278
4058.0,1.285
4064.0,1.294
4070.0,1.302
4076.0,1.31
4082.0,1.319
4088.0,1.327
4094.0,1.336
4100.0,1.344
4106.0,1.353
4112.0,1.361
4118.0,1.37
4124.0,1.378
4130.0,1.387
4136.0,1.396
4142.0,1.404
4148.0,1.413
4154.0,1.422
4160.0,1.43
4166.0,1.439
4172.0,1.448
4178.0,1.457
4184.0,1.466
4190.0,1.474
4196.0,1.483
4202.0,1.492
4208.0,1.501
4214.0,1.51
4220.0,1.519
4226.0,1.528
4232.0,1.537
4238.0,1.546
4244.0,1.555
4250.0,1.564
4256.0,1.575
4262.0,1.6
4268.0,1.631
4274.0,1.662
4280.0,1.694
4286.0,1.726
4292.0,1.758
4298.0,1.791
4304.0,1.824
4310.0,1.857
4316.0,1.891
4322.0,1.926
4328.0,1.96
4334.0,1.995
4340.0,2.031
4346.0,2.067
4352.0,2.104
4358.0,2.141
4364.0,2.179
4370.0,2.217
4376.0,2.256
4382.0,2.296
4388.0,2.337
4394.0,2.378
4400.0,2.42
4406.0,2.463
4412.0,2.508
4418.0,2.553
4424.0,2.601
4430.0,2.649
4436.0,2.7
4442.0,2.754
4448.0,2.812
4454.0,2.877
4460.0,2.918
4510.0,2.915
4535.0,2.915
4560.0,2.886
4610.0,2.918
4660.0,2.9
4685.0,2.908
4710.0,2.906
4760.0,2.906
4810.0,2.905
4835.0,2.907
4860.0,2.906
4910.0,2.907
4960.0,2.907
4985.0,2.907
5010.0,2.908
5060.0,2.91
5110.0,2.91
5135.0,2.91
5160.0,2.911
5210.0,2.912
5260.0,2.911
5310.0,2.912
5460.0,2.912
5560.0,2.913
5710.0,2.913
5885.0,2.913
5960.0,2.914
6010.0,2.913
6160.0,2.914
6210.0,2.914
6260.0,2.914
6335.0,2.914
6360.0,2.914
6485.0,2.914
6560.0,2.914
6610.0,2.914
6660.0,2.914
6710.0,2.914
6760.0,2.914
6860.0,2.914
6910.0,2.914
6960.0,2.914
7010.0,2.914
7060.0,2.914
7110.0,2.914
7160.0,2.914
7210.0,2.914
7260.0,2.914
7360.0,2.914
7410.0,2.914
7560.0,2.914
7610.0,2.914
7685.0,2.914
7810.0,2.914
7860.0,2.914
8010.0,2.915
8135.0,2.915
8160.0,2.915
8260.0,2.915
8310.0,2.915
8410.0,2.914
8435.0,2.915
8510.0,2.915
8585.0,2.915
8660.0,2.914
8710.0,2.914
8760.0,2.914
8810.0,2.913
8860.0,2.912
8885.0,2.913
8910.0,2.912
8960.0,2.91
9010.0,2.909
9035.0,2.91
9060.0,2.907
9110.0,2.903
9160.0,2.899
9235.0,2.725
9240.0,2.921
