SPSBEAM/GAMMA,SPSBEAM/GAMMA
X,Y
0.0,14.422860587814212
6.0,14.429239939610346
12.0,14.448378076597274
18.0,14.480275242492086
24.0,14.524931839921534
30.0,14.582348425161147
36.0,14.643411679645213
42.0,14.699007621032946
48.0,14.749135947793086
54.0,14.7937963927625
60.0,14.832988721791919
66.0,14.86671273239045
72.0,14.894968252354031
78.0,14.917755138790623
84.0,14.935073277638157
90.0,14.946922582709634
96.0,14.95330299521591
102.0,14.954518313225321
200.0,14.954518313225321
1460.0,14.954518313225321
1466.0,14.957113838216564
1472.0,14.964900425320094
1478.0,14.977878110862246
1484.0,14.996046955177327
1490.0,15.019407042295361
1496.0,15.048701243768479
1502.0,15.084672484281418
1508.0,15.127320972572802
1514.0,15.176646952914684
1520.0,15.232650703544342
1526.0,15.2966584865658
1532.0,15.369996699804927
1538.0,15.45266589309043
1544.0,15.544666670543512
1550.0,15.645999685540554
1556.0,15.760609616133575
1562.0,15.892441682410832
1568.0,16.041497496803174
1574.0,16.20777880247658
1580.0,16.391287449069896
1586.0,16.593819022188235
1592.0,16.817169506079765
1598.0,17.061341468210546
1604.0,17.326337520416786
1610.0,17.6121602849495
1616.0,17.92379248462582
1622.0,18.266217924391093
1628.0,18.639440823591524
1634.0,19.04346532867148
1640.0,19.47829545459339
1646.0,19.946202311624994
1652.0,20.449457343161463
1658.0,20.988064730997404
1664.0,21.562028356338587
1670.0,22.17135177442368
1676.0,22.799547062417975
1682.0,23.43012245429149
1688.0,24.063075666638444
1694.0,24.698404632851705
1700.0,25.336107478273714
1706.0,25.97618249844975
1712.0,26.61862814005968
1718.0,27.26344298451527
1724.0,27.910625733859167
1730.0,28.560175198235722
1736.0,29.212090284572856
1742.0,29.86636998732633
1748.0,30.523013379615094
1754.0,31.1820196055535
1760.0,31.843387874183556
1766.0,32.507117452872684
1772.0,33.17320766210645
1778.0,33.841657871062736
1784.0,34.51246749293885
1790.0,35.18563598146303
1796.0,35.86116282747293
1802.0,36.53904755562274
1808.0,37.219289721605854
1814.0,37.90188890985899
1820.0,38.58684473129191
1826.0,39.27415682091005
1832.0,39.963824836372645
1838.0,40.65584845586817
1844.0,41.35022737699397
1850.0,42.04696131491997
1856.0,42.74605000152706
1862.0,43.44749318380358
1868.0,44.15129062308677
1874.0,44.857442094074656
1880.0,45.56594738370567
1886.0,46.27680629021848
1892.0,46.9900186231309
1898.0,47.70558420146774
1904.0,48.42350285385521
1910.0,49.14377441781294
1916.0,49.866398738878495
1922.0,50.591375670519454
1928.0,51.31870507323114
1934.0,52.048386814414954
1940.0,52.780420767969005
1946.0,53.51480681369482
1952.0,54.25154483694398
1958.0,54.99063472850251
1964.0,55.73207638428482
1970.0,56.47586970483538
1976.0,57.22201459506271
1982.0,57.970510964204266
1988.0,58.721358725594484
1994.0,59.474557796128295
2000.0,60.230108096484635
2006.0,60.98800955051025
2012.0,61.748262085361475
2018.0,62.51086563133756
2024.0,63.27582012151096
2030.0,64.04312549158051
2036.0,64.81278167994655
2042.0,65.58478862758123
2048.0,66.35914627769327
2054.0,67.13585457561325
2060.0,67.91491346889853
2066.0,68.69632290723132
2072.0,69.48008284200289
2078.0,70.26619322664921
2084.0,71.05465401613908
2090.0,71.845465167213
2096.0,72.6386266383069
2102.0,73.43413838926662
2108.0,74.23200038127968
2114.0,75.03221257702381
2120.0,75.83477494060575
2126.0,76.63968743729
2132.0,77.44695003344387
2138.0,78.25656269669862
2144.0,79.0685253958999
2150.0,79.88283810074104
2156.0,80.69950078214487
2162.0,81.51851341179508
2168.0,82.33987596241556
2174.0,83.16358840783889
2180.0,83.98965072222374
2186.0,84.81806288108612
2192.0,85.64882486052025
2198.0,86.48193663727386
2204.0,87.31739818893124
2210.0,88.15520949388491
2216.0,88.99537053098858
2222.0,89.83788127995753
2228.0,90.6827417209175
2234.0,91.52995183480752
2240.0,92.37951160293088
2246.0,93.23142100735994
2252.0,94.0856800304893
2258.0,94.94228865533573
2264.0,95.80124686551937
2270.0,96.66255464503266
2276.0,97.52621197822297
2282.0,98.39221884998942
2288.0,99.26057524576694
2294.0,100.13128115119156
2300.0,101.00433655251206
2306.0,101.87974143625651
2312.0,102.75749578911235
2318.0,103.637599598553
2324.0,104.52005285218627
2330.0,105.40485553784913
2336.0,106.29200764391618
2342.0,107.18150915886253
2348.0,108.0733600715731
2354.0,108.96756037133274
2360.0,109.86411004760333
2366.0,110.76300909001469
2372.0,111.66425748856888
2378.0,112.56785523363155
2384.0,113.47380231560417
2390.0,114.38209872534237
2396.0,115.29274445372204
2402.0,116.20573949205843
2408.0,117.12108383167266
2414.0,118.03877746420481
2420.0,118.9588203816074
2426.0,119.88121257592584
2432.0,120.80595403929254
2438.0,121.73304476413408
2444.0,122.66248474316569
2450.0,123.59427396906611
2456.0,124.52841243489851
2462.0,125.46490013378585
2468.0,126.40373705879946
2474.0,127.34492320359375
2480.0,128.28845856176218
