SPSBEAM/GAMMA,SPSBEAM/GAMMA
X,Y
0.0,5.802226693042544
6.0,5.804728878025736
12.0,5.812235630745183
18.0,5.8247475419616785
24.0,5.842265587841111
30.0,5.864791117511393
36.0,5.89427218506219
42.0,5.93265855576567
48.0,5.979955178640476
54.0,6.036167932942732
60.0,6.101303506217984
66.0,6.175369260916158
72.0,6.258373094253638
78.0,6.35032329592004
84.0,6.448040632169854
90.0,6.5411659495551975
96.0,6.628895540126643
102.0,6.711223170515655
108.0,6.788143344638904
114.0,6.859651216193514
120.0,6.925742514678052
126.0,6.9864134829963955
132.0,7.041660824167367
138.0,7.091481656722073
144.0,7.135873476550393
150.0,7.17483412485497
156.0,7.208361761423301
162.0,7.236454841947552
168.0,7.25911209992175
174.0,7.276332531653264
180.0,7.2881153847323565
186.0,7.29446014941594
192.0,7.295668688027541
725.0,7.295668688027541
8545.0,7.295668688027541
8551.0,7.296046118850332
8557.0,7.297178413561316
8563.0,7.299065578884862
8569.0,7.301707626016667
8575.0,7.305104570606405
8581.0,7.309256432733515
8587.0,7.3141632368762
8593.0,7.3198250118736965
8599.0,7.326241790881953
8605.0,7.333413611322838
8611.0,7.341340514827003
8617.0,7.350022547170584
8623.0,7.359459758205908
8629.0,7.369652201786401
8635.0,7.380599935685901
8641.0,7.392303021512608
8647.0,7.404761524617891
8653.0,7.417975514000211
8659.0,7.431945062204423
8665.0,7.446670245216704
8671.0,7.462151142355394
8677.0,7.47838783615805
8683.0,7.495380412264977
8689.0,7.513128959299538
8695.0,7.531633568745562
8701.0,7.5508943348221225
8707.0,7.570911354356023
8713.0,7.591684726652259
8719.0,7.61321455336279
8725.0,7.635500938353918
8731.0,7.658543987572557
8737.0,7.682343808911713
8743.0,7.706900512075457
8749.0,7.732214208443665
8755.0,7.7582850109368415
8761.0,7.7851130338812515
8767.0,7.812698392874675
8773.0,7.841041204653011
8779.0,7.8701415869579865
8785.0,7.899999658406213
8791.0,7.930615538359825
8797.0,7.961989346798887
8803.0,7.9941212041958405
8809.0,8.027011231392096
8815.0,8.06065954947704
8821.0,8.095066279669576
8827.0,8.13023154320237
8833.0,8.166155461208977
8839.0,8.202838154613918
8845.0,8.240279744025916
8851.0,8.278480349634327
8857.0,8.317440091108914
8863.0,8.357159087503023
8869.0,8.39763745716026
8875.0,8.438875317624692
8881.0,8.480872785554684
8887.0,8.523629976640375
8893.0,8.567147005524811
8899.0,8.611423985728798
8905.0,8.656461029579459
8911.0,8.702258248142499
8917.0,8.74881575115817
8923.0,8.796133646980948
8929.0,8.844212042522837
8935.0,8.893051043200328
8941.0,8.942650752884955
8947.0,8.993081396816095
8953.0,9.045254753871461
8959.0,9.099451667003649
8965.0,9.15567250995519
8971.0,9.213917658358008
8977.0,9.274075250210782
8983.0,9.334686421544871
8989.0,9.395302162395614
9001.0,9.516547003373509
9013.0,9.637809096505125
9019.0,9.698446410405946
9025.0,9.759087798687672
9031.0,9.819733185866745
9037.0,9.880382498307961
9043.0,9.941035664168366
9049.0,10.001863356683119
9055.0,10.063420488596948
9061.0,10.12574981525594
9067.0,10.188851407076669
9073.0,10.252725332729865
9079.0,10.317371659142403
9085.0,10.382790451501153
9091.0,10.44898177325863
9097.0,10.515679333144528
9103.0,10.579420361372243
9109.0,10.639138783016133
9115.0,10.694833937333934
9121.0,10.746505224388635
9127.0,10.794152101243492
9133.0,10.837774078587284
9139.0,10.877370717749361
9145.0,10.912941628069555
9151.0,10.944486464592776
9157.0,10.972004926062422
9163.0,10.995496753190453
9169.0,11.014961727185318
9175.0,11.030399668522003
9181.0,11.041810435941223
9187.0,11.049193925667218
9193.0,11.052550070836165
9195.0,11.05277381416064
11195.0,11.05277381416064
11201.0,11.053153278403215
11207.0,11.054291671775959
11213.0,11.056188996213272
11219.0,11.058845254936946
11225.0,11.062260452452838
11231.0,11.06643459454625
11237.0,11.071367688275988
11243.0,11.07705974196712
11249.0,11.083510765202469
11255.0,11.090720768812824
11261.0,11.098689764865888
11267.0,11.107417766654047
11273.0,11.116904788680886
11279.0,11.127150846646552
11285.0,11.138155957431957
11291.0,11.149920139081859
11297.0,11.162443410786858
11303.0,11.175725792864336
11309.0,11.18976730673835
11315.0,11.204567974918575
11321.0,11.220127820978277
11327.0,11.236446869531376
11333.0,11.253525146208647
11339.0,11.271362677633107
11345.0,11.28995949139459
11351.0,11.309315616023607
11357.0,11.329431080964506
11363.0,11.350305916547981
11369.0,11.371940153962973
11375.0,11.394333825228031
11381.0,11.417486963162155
11387.0,11.441399601355174
11393.0,11.466071774137712
11399.0,11.491503516550797
11405.0,11.51769486431514
11411.0,11.544645853800146
11417.0,11.572356521992699
