SPSBEAM/GAMMA,SPSBEAM/GAMMA
X,Y
0.0,11.604453386085089
6.0,11.609457756051471
12.0,11.624471261490365
18.0,11.649495083923357
24.0,11.684531175682222
30.0,11.729582235022786
36.0,11.78854437012438
42.0,11.86531711153134
48.0,11.959910357280952
54.0,12.072335865885464
60.0,12.202607012435967
66.0,12.350738521832316
72.0,12.516746188507277
78.0,12.70064659184008
84.0,12.896081264339708
90.0,13.082331899110395
96.0,13.257791080253286
102.0,13.42244634103131
108.0,13.576286689277808
114.0,13.719302432387028
120.0,13.851485029356104
126.0,13.972826965992791
132.0,14.083321648334733
138.0,14.182963313444146
144.0,14.271746953100786
150.0,14.34966824970994
156.0,14.416723522846603
162.0,14.472909683895104
168.0,14.5182241998435
174.0,14.552665063306527
180.0,14.576230769464713
186.0,14.58892029883188
192.0,14.591337376055082
725.0,14.591337376055082
1345.0,14.591337376055082
1351.0,14.592092237700664
1357.0,14.594356827122631
1363.0,14.598131157769725
1369.0,14.603415252033335
1375.0,14.61020914121281
1381.0,14.61851286546703
1387.0,14.6283264737524
1393.0,14.639650023747393
1399.0,14.652483581763907
1405.0,14.666827222645676
1411.0,14.682681029654006
1417.0,14.700045094341167
1423.0,14.718919516411816
1429.0,14.739304403572802
1435.0,14.761199871371803
1441.0,14.784606043025216
1447.0,14.809523049235782
1453.0,14.835951028000421
1459.0,14.863890124408845
1465.0,14.893340490433408
1471.0,14.924302284710787
1477.0,14.9567756723161
1483.0,14.990760824529954
1489.0,15.026257918599075
1495.0,15.063267137491124
1501.0,15.101788669644245
1507.0,15.141822708712047
1513.0,15.183369453304518
1519.0,15.22642910672558
1525.0,15.271001876707835
1531.0,15.317087975145114
1537.0,15.364687617823426
1543.0,15.413801024150914
1549.0,15.46442841688733
1555.0,15.516570021873683
1561.0,15.570226067762503
1567.0,15.62539678574935
1573.0,15.682082409306021
1579.0,15.740283173915973
1585.0,15.799999316812427
1591.0,15.86123107671965
1597.0,15.923978693597775
1603.0,15.988242408391681
1609.0,16.054022462784193
1615.0,16.12131909895408
1621.0,16.19013255933915
1627.0,16.26046308640474
1633.0,16.332310922417953
1639.0,16.405676309227836
1645.0,16.48055948805183
1651.0,16.556960699268654
1657.0,16.634880182217827
1663.0,16.714318175006046
1669.0,16.79527491432052
1675.0,16.877750635249384
1681.0,16.96174557110937
1687.0,17.04725995328075
1693.0,17.134294011049622
1699.0,17.222847971457597
1705.0,17.312922059158918
