STABLE_PHASE,STABLE_PHASE
X,Y
3692.0,150.473
3698.0,150.601
3704.0,150.729
3710.0,150.857
3716.0,150.985
3722.0,151.113
3728.0,151.241
3734.0,151.368
3740.0,151.496
3746.0,151.623
3752.0,151.75
3758.0,151.877
3764.0,152.004
3770.0,152.13
3776.0,152.257
3782.0,152.383
3788.0,152.509
3794.0,152.635
3800.0,152.761
3806.0,152.887
3812.0,153.012
3818.0,153.138
3824.0,153.263
3830.0,153.388
3836.0,153.513
3842.0,153.638
3848.0,153.763
3854.0,153.887
3860.0,154.012
3866.0,154.136
3872.0,154.26
3878.0,154.384
3884.0,154.508
3890.0,154.632
3896.0,154.756
3902.0,154.879
3908.0,155.003
3914.0,155.126
3920.0,155.249
3926.0,155.372
3932.0,155.495
3938.0,155.618
3944.0,155.741
3950.0,155.864
3956.0,155.986
3962.0,156.108
3968.0,156.231
3974.0,156.353
3980.0,156.475
3986.0,156.597
3992.0,156.719
3998.0,156.84
4004.0,156.962
4010.0,157.083
4016.0,157.205
4022.0,157.326
4028.0,157.447
4034.0,157.568
4040.0,157.689
4046.0,157.81
4052.0,157.931
4058.0,158.058
4064.0,158.205
4070.0,158.354
4076.0,158.503
4082.0,158.651
4088.0,158.799
4094.0,158.948
4100.0,159.096
4106.0,159.244
4112.0,159.392
4118.0,159.539
4124.0,159.687
4130.0,159.834
4136.0,159.981
4142.0,160.128
4148.0,160.275
4154.0,160.422
4160.0,160.569
4166.0,160.715
4172.0,160.862
4178.0,161.008
4184.0,161.154
4190.0,161.3
4196.0,161.446
4202.0,161.592
4208.0,161.738
4214.0,161.883
4220.0,162.029
4226.0,162.174
4232.0,162.319
4238.0,162.464
4244.0,162.609
4250.0,162.754
4256.0,162.92
4262.0,163.363
4268.0,163.889
4274.0,164.413
4280.0,164.937
4286.0,165.459
4292.0,165.98
4298.0,166.499
4304.0,167.018
4310.0,167.535
4316.0,168.052
4322.0,168.567
4328.0,169.082
4334.0,169.595
4340.0,170.108
4346.0,170.62
4352.0,171.131
4358.0,171.642
4364.0,172.152
4370.0,172.661
4376.0,173.17
4382.0,173.678
4388.0,174.185
4394.0,174.692
4400.0,175.199
4406.0,175.706
4412.0,176.212
4418.0,176.717
4424.0,177.223
4430.0,177.728
4436.0,178.233
4442.0,178.738
4448.0,179.243
4454.0,179.748
4460.0,180.0
4510.0,180.015
4535.0,179.986
4560.0,179.808
4610.0,179.998
4660.0,179.903
4685.0,179.951
4710.0,179.934
4760.0,179.938
4810.0,179.931
4835.0,179.941
4860.0,179.935
4910.0,179.941
4960.0,179.943
4985.0,179.941
5010.0,179.945
5060.0,179.955
5110.0,179.956
5135.0,179.958
