SYPERIOD,SYPERIOD
X,Y
4052.0,0.004687
4058.0,0.004689
4064.0,0.004691
4070.0,0.004693
4076.0,0.004695
4082.0,0.004697
4088.0,0.004698
4094.0,0.0047
4100.0,0.004702
4106.0,0.004704
4112.0,0.004706
4118.0,0.004707
4124.0,0.004709
4130.0,0.004711
4136.0,0.004713
4142.0,0.004714
4148.0,0.004716
4154.0,0.004718
4160.0,0.004719
4166.0,0.004721
4172.0,0.004723
4178.0,0.004724
4184.0,0.004726
4190.0,0.004727
4196.0,0.004729
4202.0,0.004731
4208.0,0.004732
4214.0,0.004734
4220.0,0.004735
4226.0,0.004737
4232.0,0.004738
4238.0,0.00474
4244.0,0.004741
4250.0,0.004743
4256.0,0.004744
4262.0,0.004741
4268.0,0.004738
4274.0,0.004735
4280.0,0.004732
4286.0,0.004729
4292.0,0.004727
4298.0,0.004724
4304.0,0.004722
4310.0,0.004719
4316.0,0.004717
4322.0,0.004715
4328.0,0.004713
4334.0,0.004711
4340.0,0.004709
4346.0,0.004707
4352.0,0.004706
4358.0,0.004704
4364.0,0.004703
4370.0,0.004702
4376.0,0.0047
4382.0,0.004699
4388.0,0.004698
4394.0,0.004697
4400.0,0.004697
4406.0,0.004696
4412.0,0.004695
4418.0,0.004695
4424.0,0.004694
4430.0,0.004694
4436.0,0.004693
4442.0,0.004693
4448.0,0.004693
4454.0,0.004693
4460.0,0.004693
4510.0,0.004693
4535.0,0.004693
4560.0,0.004693
4610.0,0.004693
4660.0,0.004693
4685.0,0.004693
4710.0,0.004693
4760.0,0.004694
4810.0,0.004694
4835.0,0.004694
4860.0,0.004694
4910.0,0.004694
4960.0,0.004694
4985.0,0.004694
5010.0,0.004694
5060.0,0.004694
5110.0,0.004694
5135.0,0.004694
5160.0,0.004694
5210.0,0.004694
5260.0,0.004694
5310.0,0.004694
5460.0,0.004695
5560.0,0.004695
5710.0,0.004695
5885.0,0.004695
5960.0,0.004695
6010.0,0.004695
6160.0,0.004695
6210.0,0.004695
6260.0,0.004695
6335.0,0.004695
6360.0,0.004695
6485.0,0.004696
6560.0,0.004696
6610.0,0.004696
6660.0,0.004696
6710.0,0.004696
6760.0,0.004696
6860.0,0.004696
6910.0,0.004696
6960.0,0.004696
7010.0,0.004696
7060.0,0.004696
7110.0,0.004696
7160.0,0.004696
7210.0,0.004696
7260.0,0.004696
7360.0,0.004696
7410.0,0.004696
7560.0,0.004697
7610.0,0.004697
7685.0,0.004697
7810.0,0.004697
7860.0,0.004697
8010.0,0.004697
8135.0,0.004697
8160.0,0.004697
8260.0,0.004697
8310.0,0.004697
8410.0,0.004697
8435.0,0.004697
8510.0,0.004697
8585.0,0.004697
8660.0,0.004698
8710.0,0.004698
8760.0,0.004698
8810.0,0.004698
8860.0,0.004698
8885.0,0.004698
8910.0,0.004698
8960.0,0.004698
9010.0,0.004698
9035.0,0.004698
9060.0,0.004698
9110.0,0.004698
9160.0,0.004698
9235.0,0.0047
9240.0,0.004699
9245.0,0.002187
10800.0,0.002187
