STABLE_PHASE,STABLE_PHASE
X,Y
12629.0,149.258
12635.0,149.173
12641.0,149.089
12647.0,149.004
12653.0,148.919
12659.0,148.834
12665.0,148.749
12671.0,148.664
12677.0,148.579
12683.0,148.494
12689.0,148.409
12695.0,148.323
12701.0,148.238
12707.0,148.153
12713.0,148.067
12719.0,147.981
12725.0,147.896
12731.0,147.81
12737.0,147.724
12743.0,147.638
12749.0,147.552
12755.0,147.466
12761.0,147.38
12767.0,147.293
12773.0,147.207
12779.0,147.12
12785.0,147.034
12791.0,146.947
12797.0,146.861
12803.0,146.774
12809.0,146.687
12815.0,146.6
12821.0,146.513
12827.0,146.426
12833.0,146.338
12839.0,146.251
12845.0,146.164
12851.0,146.076
12857.0,145.989
12863.0,145.901
12869.0,145.813
12875.0,145.725
12881.0,145.637
12887.0,145.549
12893.0,145.461
12899.0,145.373
12905.0,145.284
12911.0,145.196
12917.0,145.107
12923.0,145.019
12929.0,144.93
12935.0,144.841
12941.0,144.752
12947.0,144.663
12953.0,144.574
12959.0,144.485
12965.0,144.396
12971.0,144.306
12977.0,144.217
12983.0,144.127
12989.0,144.038
12995.0,143.948
13001.0,143.858
13007.0,143.768
13013.0,143.678
13019.0,143.587
13025.0,143.497
13031.0,143.407
13037.0,143.316
13043.0,143.226
13049.0,143.135
13055.0,143.044
13061.0,142.953
13067.0,142.862
13073.0,142.771
13079.0,142.679
13085.0,142.588
13091.0,142.496
13097.0,142.405
13103.0,142.313
13109.0,142.221
13115.0,142.129
13121.0,142.037
13127.0,141.945
13133.0,141.853
13139.0,141.76
13145.0,141.668
13151.0,141.575
13157.0,141.482
13163.0,141.389
13169.0,141.296
13175.0,141.203
13181.0,141.11
13187.0,141.016
13193.0,140.944
13199.0,140.938
13235.0,140.938
13241.0,140.938
13247.0,140.938
13253.0,140.938
13259.0,140.938
13265.0,140.938
13271.0,140.938
13277.0,140.938
13283.0,140.938
13289.0,140.938
13295.0,140.938
13301.0,140.938
13307.0,140.938
13313.0,140.938
13319.0,140.938
13337.0,140.938
13343.0,140.938
13349.0,140.938
13355.0,140.938
13361.0,140.938
13367.0,140.938
13373.0,140.938
13379.0,140.938
13385.0,140.938
13391.0,140.938
13397.0,140.938
13403.0,140.938
13409.0,140.938
13421.0,140.938
13427.0,140.938
13445.0,140.938
13451.0,140.938
13457.0,140.938
13463.0,140.938
13469.0,140.938
13475.0,140.938
13487.0,140.938
13493.0,140.938
13499.0,140.938
13505.0,140.938
13511.0,140.938
13517.0,140.938
13523.0,140.938
13529.0,140.938
13535.0,140.938
13541.0,140.938
13553.0,140.938
13559.0,140.938
13565.0,140.938
13571.0,140.938
13577.0,140.938
13595.0,140.938
13601.0,140.938
13613.0,140.938
13619.0,140.938
13625.0,140.938
13637.0,140.938
13643.0,140.938
13655.0,140.938
13685.0,140.938
13691.0,140.938
13697.0,140.938
