STABLE_PHASE,STABLE_PHASE
X,Y
2719.0,148.957
2725.0,148.869
2731.0,148.781
2737.0,148.693
2743.0,148.605
2749.0,148.517
2755.0,148.429
2761.0,148.341
2767.0,148.252
2773.0,148.164
2779.0,148.075
2785.0,147.987
2791.0,147.898
2797.0,147.809
2803.0,147.721
2809.0,147.632
2815.0,147.543
2821.0,147.454
2827.0,147.364
2833.0,147.275
2839.0,147.186
2845.0,147.096
2851.0,147.007
2857.0,146.917
2863.0,146.827
2869.0,146.737
2875.0,146.647
2881.0,146.557
2887.0,146.467
2893.0,146.377
2899.0,146.287
2905.0,146.196
2911.0,146.106
2917.0,146.015
2923.0,145.925
2929.0,145.834
2935.0,145.743
2941.0,145.652
2947.0,145.561
2953.0,145.47
2959.0,145.378
2965.0,145.287
2971.0,145.196
2977.0,145.104
2983.0,145.012
2989.0,144.921
2995.0,144.829
3001.0,144.737
3007.0,144.645
3013.0,144.552
3019.0,144.46
3025.0,144.368
3031.0,144.275
3037.0,144.182
3043.0,144.09
3049.0,143.997
3055.0,143.904
3061.0,143.811
3067.0,143.718
3073.0,143.624
3079.0,143.531
3085.0,143.437
3091.0,143.344
3097.0,143.25
3103.0,143.156
3109.0,143.062
3115.0,142.968
3121.0,142.874
3127.0,142.78
3133.0,142.685
3139.0,142.591
3145.0,142.496
3151.0,142.401
3157.0,142.306
3163.0,142.211
3169.0,142.116
3175.0,142.021
3181.0,141.925
3187.0,141.845
3193.0,141.734
3199.0,141.638
3205.0,141.558
3211.0,141.446
3217.0,141.35
3223.0,141.254
3229.0,141.158
3235.0,141.061
3241.0,140.956
3247.0,140.867
3253.0,140.787
3259.0,140.673
3265.0,140.576
3271.0,140.479
3277.0,140.381
3283.0,140.284
3289.0,140.186
3295.0,140.088
3301.0,139.99
3307.0,139.892
3313.0,139.793
3319.0,139.695
3325.0,139.596
3331.0,139.498
3337.0,139.399
3343.0,139.322
3349.0,139.316
3355.0,139.316
3361.0,139.316
3367.0,139.316
3373.0,139.316
3379.0,139.316
3385.0,139.316
3391.0,139.316
3397.0,139.316
3403.0,139.316
3409.0,139.316
3415.0,139.316
3421.0,139.316
3427.0,139.316
3433.0,139.316
3439.0,139.316
3445.0,139.316
3451.0,139.316
3457.0,139.316
3463.0,139.316
3469.0,139.316
3475.0,139.316
3487.0,139.316
3493.0,139.316
3499.0,139.316
3505.0,139.316
3511.0,139.316
3517.0,139.316
3523.0,139.316
3529.0,139.316
3535.0,139.316
3541.0,139.316
3547.0,139.316
3553.0,139.316
3559.0,139.316
3565.0,139.316
3571.0,139.316
3577.0,139.316
3583.0,139.316
3589.0,139.316
3601.0,139.316
3607.0,139.316
3613.0,139.316
3619.0,139.316
3625.0,139.316
3631.0,139.316
3649.0,139.316
3655.0,139.316
3661.0,139.316
3667.0,139.316
3673.0,139.316
3679.0,139.316
3685.0,139.316
3691.0,139.316
3697.0,139.316
3703.0,139.316
3721.0,139.316
3733.0,139.316
3739.0,139.316
3745.0,139.316
3751.0,139.316
3763.0,139.316
3769.0,139.316
3775.0,139.316
3781.0,139.316
3787.0,139.316
3793.0,139.316
3805.0,139.316
3817.0,139.316
3823.0,139.316
3829.0,139.316
3835.0,139.316
3841.0,139.316
3847.0,139.316
3853.0,139.316
3865.0,139.316
3877.0,139.316
3889.0,139.316
3895.0,139.316
3901.0,139.316
3907.0,139.316
3913.0,139.316
3919.0,139.316
3937.0,139.316
3955.0,139.316
3967.0,139.316
3991.0,139.332
3997.0,139.441
4003.0,139.566
4009.0,139.69
4015.0,139.815
4021.0,139.939
4027.0,140.062
4033.0,140.186
4039.0,140.309
4045.0,140.433
4051.0,140.555
4057.0,140.678
4063.0,140.801
4069.0,140.923
4075.0,141.045
4081.0,141.167
4087.0,141.289
4093.0,141.41
4099.0,141.531
4105.0,141.652
4111.0,141.773
4117.0,141.894
4123.0,142.014
4129.0,142.134
4135.0,142.254
4141.0,142.374
4147.0,142.494
4153.0,142.613
4159.0,142.733
4165.0,142.852
4171.0,142.971
4177.0,143.089
4183.0,143.208
4189.0,143.326
4195.0,143.444
4201.0,143.562
4207.0,143.68
4213.0,143.798
4219.0,143.915
4225.0,144.033
4231.0,144.15
4237.0,144.267
4243.0,144.383
4249.0,144.5
4255.0,144.616
4261.0,144.733
4267.0,144.849
4273.0,144.965
4279.0,145.08
4285.0,145.196
4291.0,145.311
4297.0,145.427
4303.0,145.542
4309.0,145.657
4315.0,145.771
4321.0,145.886
4327.0,146.001
4333.0,146.115
4339.0,146.229
4345.0,146.343
4351.0,146.457
4357.0,146.571
4363.0,146.684
4369.0,146.798
4375.0,146.911
4381.0,147.024
4387.0,147.137
4393.0,147.25
4399.0,147.363
4405.0,147.475
4411.0,147.588
4417.0,147.7
4423.0,147.812
4429.0,147.924
4435.0,148.036
4441.0,148.148
4447.0,148.259
4453.0,148.371
4459.0,148.482
4465.0,148.593
4471.0,148.704
4477.0,148.815
4483.0,148.926
4489.0,149.037
4495.0,149.147
4501.0,149.258
4507.0,149.368
4513.0,149.478
4519.0,149.588
4525.0,149.698
4531.0,149.808
4537.0,149.917
4543.0,150.027
4549.0,150.136
4555.0,150.246
4561.0,150.355
4567.0,150.464
4573.0,150.573
4579.0,150.682
4585.0,150.791
4591.0,150.899
4597.0,151.008
4603.0,151.116
4609.0,151.224
4615.0,151.332
4621.0,151.44
4627.0,151.548
4633.0,151.656
4639.0,151.764
4645.0,151.872
4651.0,151.979
4657.0,152.086
4663.0,152.194
4669.0,152.301
4675.0,152.408
4681.0,152.515
4687.0,152.622
4693.0,152.728
4699.0,152.835
4705.0,152.942
4711.0,153.048
4717.0,153.154
4723.0,153.261
4729.0,153.367
4735.0,153.473
4741.0,153.579
4747.0,153.685
4753.0,153.791
4759.0,153.896
4765.0,154.002
4771.0,154.138
4777.0,154.329
4783.0,154.521
4789.0,154.713
4795.0,154.904
4801.0,155.095
4807.0,155.286
4813.0,155.477
4819.0,155.667
4825.0,155.857
4831.0,156.047
4837.0,156.236
4843.0,156.426
4849.0,156.614
4855.0,156.803
4861.0,156.992
4867.0,157.18
4873.0,157.367
4879.0,157.555
4885.0,157.742
4891.0,157.93
4897.0,158.116
4903.0,158.303
4909.0,158.489
4915.0,158.676
4921.0,158.861
4927.0,159.047
4933.0,159.233
4939.0,159.418
4945.0,159.603
4951.0,159.787
4957.0,159.972
4963.0,160.156
4969.0,160.34
4975.0,160.524
4981.0,160.708
4987.0,160.892
4993.0,161.075
4999.0,161.258
5005.0,161.441
5011.0,161.623
5017.0,161.806
5023.0,161.988
5029.0,162.17
5035.0,162.352
5041.0,162.534
5047.0,162.716
5053.0,162.897
5059.0,163.078
5065.0,163.259
5071.0,163.44
5077.0,163.621
5083.0,163.801
5089.0,163.982
5095.0,164.162
5101.0,164.342
5107.0,164.522
5113.0,164.701
5119.0,164.881
5125.0,165.06
5131.0,165.24
5137.0,165.419
5143.0,165.598
5149.0,165.777
5155.0,165.955
5161.0,166.134
5167.0,166.312
5173.0,166.491
5179.0,166.669
5185.0,166.847
5191.0,167.025
5197.0,167.202
5203.0,167.38
5209.0,167.558
5215.0,167.735
5221.0,167.912
5227.0,168.089
5233.0,168.266
5239.0,168.443
5245.0,168.62
5251.0,168.797
5257.0,168.973
5263.0,169.15
5269.0,169.326
5275.0,169.503
5281.0,169.679
5287.0,169.855
5293.0,170.031
5299.0,170.207
5305.0,170.382
5311.0,170.558
5317.0,170.734
5323.0,170.909
5329.0,171.085
5335.0,171.26
5341.0,171.435
5347.0,171.611
5353.0,171.786
5359.0,171.961
5365.0,172.136
5371.0,172.311
5377.0,172.485
5383.0,172.66
5389.0,172.835
5395.0,173.009
5401.0,173.184
5407.0,173.358
5413.0,173.533
5419.0,173.707
5425.0,173.881
5431.0,174.056
5437.0,174.23
5443.0,174.404
5449.0,174.578
5455.0,174.752
5461.0,174.926
5467.0,175.1
5473.0,175.274
5479.0,175.448
5485.0,175.622
5491.0,175.795
5497.0,175.969
5503.0,176.143
5509.0,176.316
5515.0,176.49
5521.0,176.673
5527.0,176.911
5533.0,177.158
5539.0,177.406
5545.0,177.653
5551.0,177.9
5557.0,178.147
5563.0,178.394
5569.0,178.641
5575.0,178.888
5581.0,179.135
5587.0,179.383
5593.0,179.63
5599.0,179.877
5605.0,180.0
6650.0,180.0
6655.0,0.0
8400.0,0.0
