TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
3680.0,7.087
3686.0,7.087
3692.0,7.087
3698.0,7.087
3704.0,7.087
3710.0,7.087
3716.0,7.087
3722.0,7.087
3728.0,7.087
3734.0,7.087
3740.0,7.087
3746.0,7.087
3752.0,7.087
3758.0,7.087
3764.0,7.087
3770.0,7.087
3776.0,7.087
3782.0,7.087
3788.0,7.087
3794.0,7.087
3800.0,7.087
3806.0,7.087
3812.0,7.087
3818.0,7.087
3824.0,7.087
3830.0,7.087
3836.0,7.087
3842.0,7.087
3848.0,7.087
3854.0,7.087
3860.0,7.087
3866.0,7.087
3872.0,7.087
3878.0,7.087
3884.0,7.087
3890.0,7.087
3896.0,7.087
3902.0,7.087
3908.0,7.087
3914.0,7.087
3920.0,7.087
3926.0,7.087
3932.0,7.087
3938.0,7.087
3944.0,7.087
3950.0,7.087
3956.0,7.087
3962.0,7.087
3968.0,7.087
3974.0,7.087
3980.0,7.087
3986.0,7.087
3992.0,7.087
3998.0,7.087
4004.0,7.087
4010.0,7.087
4016.0,7.087
4022.0,7.087
4028.0,7.087
4034.0,7.087
4040.0,7.087
4046.0,7.087
4052.0,7.087
4058.0,7.087
4064.0,7.087
4070.0,7.087
4076.0,7.087
4082.0,7.087
4088.0,7.087
4094.0,7.087
4100.0,7.087
4106.0,7.087
4112.0,7.087
4118.0,7.087
4124.0,7.087
4130.0,7.087
4136.0,7.087
4142.0,7.087
4148.0,7.087
4154.0,7.087
4160.0,7.087
4166.0,7.087
4172.0,7.087
4178.0,7.087
4184.0,7.087
4190.0,7.087
4196.0,7.087
4202.0,7.087
4208.0,7.087
4214.0,7.087
4220.0,7.087
4226.0,7.087
4232.0,7.087
4238.0,7.087
4244.0,7.087
4250.0,7.087
4256.0,7.087
4262.0,7.087
4268.0,7.087
4274.0,7.087
4280.0,7.087
4286.0,7.087
4292.0,7.087
4298.0,7.087
4304.0,7.087
4310.0,7.087
4316.0,7.087
4322.0,7.087
4328.0,7.087
4334.0,7.087
4340.0,7.087
4346.0,7.087
4352.0,7.087
4358.0,7.087
4364.0,7.087
4370.0,7.087
4376.0,7.087
4382.0,7.087
4388.0,7.087
4394.0,7.087
4400.0,7.087
4406.0,7.087
4412.0,7.087
4418.0,7.087
4424.0,7.087
4430.0,7.087
4436.0,7.087
4442.0,7.087
4448.0,7.087
4454.0,7.087
4460.0,7.087
9240.0,7.087
